date,ticker,open,high,low,close,volume,adjclose
11/23/2020,AAPL,117.1800003,117.6200027,113.75,113.8499985,127959300,113.3175812
11/24/2020,AAPL,113.9100037,115.8499985,112.5899963,115.1699982,113874200,114.6314087
11/25/2020,AAPL,115.5500031,116.75,115.1699982,116.0299988,76499200,115.4873886
11/27/2020,AAPL,116.5699997,117.4899979,116.2200012,116.5899963,46691300,116.0447617
11/30/2020,AAPL,116.9700012,120.9700012,116.8099976,119.0500031,169410200,118.4932632
12/1/2020,AAPL,121.0100021,123.4700012,120.0100021,122.7200012,127728200,122.1461029
12/2/2020,AAPL,122.0199966,123.3700027,120.8899994,123.0800018,89004200,122.5044174
12/3/2020,AAPL,123.5199966,123.7799988,122.2099991,122.9400024,78967600,122.3650742
12/4/2020,AAPL,122.5999985,122.8600006,121.5199966,122.25,78260400,121.6783066
12/7/2020,AAPL,122.3099976,124.5699997,122.25,123.75,86712000,123.1712875
12/8/2020,AAPL,124.3700027,124.9800034,123.0899963,124.3799973,82225500,123.7983398
12/9/2020,AAPL,124.5299988,125.9499969,121,121.7799988,115089200,121.210495
